iter	RMSE
0	10.13672643
1	9.394692457
2	8.707137927
3	8.081431274
4	7.507691786
5	6.985783193
6	6.496500061
7	6.044090988
8	5.632516477
9	5.256545535
10	4.919377532
11	4.605556239
12	4.324929437
13	4.063000235
14	3.825711488
15	3.601866359
16	3.403304559
17	3.22089562
18	3.059007567
19	2.904854425
20	2.768384234
21	2.637898319
22	2.52033729
23	2.417716793
24	2.318689794
25	2.23948359
26	2.161314286
27	2.087049419
28	2.020118002
29	1.962067534
30	1.909767748
31	1.865267789
32	1.819064028
33	1.781628597
34	1.742744907
35	1.707425476
36	1.674940224
37	1.64848806
38	1.623980451
39	1.598616397
40	1.577381875
41	1.560136684
42	1.541285672
43	1.523387717
44	1.508224765
45	1.492652085
46	1.475831068
47	1.461753917
48	1.449639993
49	1.436479152
50	1.425658707
51	1.416001839
52	1.401358264
53	1.390629525
54	1.380263244
55	1.370071859
56	1.361253935
57	1.350488107
58	1.343055672
59	1.335667881
60	1.32741253
61	1.316832214
62	1.309203057
63	1.302635437
64	1.2968056
65	1.289509978
66	1.282982044
67	1.273015445
68	1.266849352
69	1.260528319
70	1.253833221
71	1.249098085
72	1.241273728
73	1.234176295
74	1.226126228
75	1.220848369
76	1.213053787
77	1.207383691
78	1.199495958
79	1.192283873
80	1.187195843
81	1.180477815
82	1.172984723
83	1.168723739
84	1.164877687
85	1.159499045
86	1.154006562
87	1.148629038
88	1.142574073
89	1.139292427
90	1.134143046
91	1.130526819
92	1.126509118
93	1.120446913
94	1.118115576
95	1.114312417
96	1.109641692
97	1.106720596
98	1.10087924
99	1.097633274
100	1.09471127
101	1.090375638
102	1.085494262
103	1.08046789
104	1.07762382
105	1.07276732
106	1.069452221
107	1.065412019
108	1.061332775
109	1.059600624
110	1.05498044
111	1.052328448
112	1.050193683
113	1.046162873
114	1.042139548
115	1.037649792
116	1.036208058
117	1.03298421
118	1.03046705
119	1.028782954
120	1.025194446
121	1.021962065
122	1.019553599
123	1.01657114
124	1.014947091
125	1.012412584
126	1.008863786
127	1.005429046
128	1.001302209
129	0.9982353767
130	0.9957880447
131	0.9936260093
132	0.9905438308
133	0.9856667928
134	0.9821554101
135	0.9783501087
136	0.975491407
137	0.9726137122
138	0.9699899857
139	0.9665733865
140	0.965442706
141	0.9620474322
142	0.9594177479
143	0.9569409411
144	0.9543766781
145	0.9524821985
146	0.9497636919
147	0.9488430597
148	0.9454422962
149	0.9422368961
150	0.9396126295
151	0.937107964
152	0.9347357749
153	0.9325160589
154	0.9298151259
155	0.92740294
156	0.9241022077
157	0.9218348197
158	0.9188390032
159	0.9159730688
160	0.9130274882
161	0.9108292356
162	0.9086179262
163	0.9062218066
164	0.9043062603
165	0.9026934419
166	0.9003986501
167	0.8977910649
168	0.8944845802
169	0.8928139872
170	0.8909373651
171	0.8873936616
172	0.8850420291
173	0.8826294229
174	0.8802391363
175	0.8793517182
176	0.8767026709
177	0.8758706748
178	0.8741157099
179	0.8721504831
180	0.8697643913
181	0.8663059519
182	0.8645410076
183	0.8627499355
184	0.8611266998
185	0.8598611986
186	0.8575194942
187	0.8558244101
188	0.8542431605
189	0.8527863382
190	0.8515391047
191	0.8496015556
192	0.8480087864
193	0.8451700065
194	0.8429169442
195	0.8409232881
196	0.8402047263
197	0.8374647106
198	0.8353288991
199	0.8329514629
200	0.8319252188
201	0.8304435169
202	0.8287854975
203	0.8277115489
204	0.8259261715
