iter	Passed	Remaining
0	17	17810
1	33	16936
2	49	16566
3	71	17769
4	90	18090
5	104	17356
6	118	16754
7	132	16461
8	165	18214
9	181	17989
10	196	17683
11	210	17313
12	226	17229
13	253	17849
14	270	17751
15	285	17573
16	307	17775
17	321	17541
18	336	17352
19	356	17478
20	371	17331
21	389	17296
22	404	17168
23	418	17032
24	435	16965
25	451	16924
26	467	16845
27	485	16841
28	500	16758
29	515	16664
30	534	16701
31	548	16594
32	563	16514
33	580	16494
34	595	16412
35	611	16364
36	627	16330
37	643	16290
38	658	16233
39	673	16154
40	687	16076
41	699	15958
42	713	15890
43	729	15839
44	744	15793
45	759	15747
46	777	15759
47	794	15757
48	809	15715
49	824	15674
50	840	15639
51	855	15591
52	870	15561
53	887	15543
54	912	15683
55	929	15661
56	944	15617
57	958	15569
58	974	15535
59	990	15511
60	1004	15468
61	1020	15442
62	1035	15399
63	1050	15358
64	1064	15311
65	1079	15273
66	1094	15246
67	1109	15204
68	1124	15165
69	1140	15148
70	1154	15102
71	1169	15073
72	1190	15123
73	1206	15098
74	1223	15087
75	1238	15052
76	1251	15001
77	1266	14969
78	1281	14940
79	1296	14914
80	1309	14853
81	1324	14827
82	1340	14808
83	1353	14756
84	1367	14718
85	1380	14674
86	1397	14670
87	1412	14633
88	1425	14586
89	1438	14544
90	1451	14502
91	1467	14488
92	1481	14453
93	1495	14417
94	1507	14363
95	1520	14318
96	1533	14279
97	1546	14237
98	1561	14208
99	1572	14150
100	1588	14141
101	1602	14107
102	1617	14089
103	1631	14053
104	1644	14019
105	1659	13994
106	1671	13949
107	1685	13921
108	1700	13897
109	1714	13872
110	1728	13840
111	1741	13803
112	1753	13767
113	1769	13752
114	1782	13715
115	1793	13664
116	1802	13605
117	1815	13567
118	1830	13550
119	1842	13514
120	1854	13471
121	1864	13419
122	1884	13435
123	1898	13409
124	1909	13366
125	1921	13326
126	1933	13287
127	1944	13247
128	1956	13207
129	1966	13161
130	1977	13119
131	1990	13090
132	2004	13066
133	2014	13019
134	2025	12979
135	2036	12940
136	2048	12906
137	2061	12875
138	2072	12836
139	2082	12789
140	2093	12751
141	2105	12721
142	2115	12677
143	2128	12650
144	2140	12623
145	2150	12581
146	2161	12542
147	2174	12520
148	2208	12613
149	2225	12612
150	2243	12613
151	2259	12606
152	2274	12590
153	2285	12554
154	2295	12514
